# messagesData.txt — Messages Seed Data
# Format: item_id | sender_id | receiver_id | message_text | is_read
#
1|4|1|Hi, is the Nike sweatshirt still available? Can you do R300?|1
1|1|4|Yes it is! Unfortunately the price is firm at R320. It's in excellent condition.|1
3|5|3|Hello, does the Kate Spade bag come with authenticity cards?|1
3|3|5|Hi! Yes it does, I have the dust bag and care card included.|1
5|9|7|Is the Adidas hoodie a true L size? I'm usually between M and L.|0
2|4|2|Does the denim jacket have any damage I should know about?|1
2|2|4|Just slight wear at the elbows as mentioned — nothing visible when wearing it.|1
10|5|3|Is the Gucci bag authenticated? How do I verify?|0
8|9|7|Can I see more photos of the Puma jacket? Specifically the zipper.|0
7|4|2|What waist measurement are the Levi's jeans exactly?|1
